Project Usages

Resource,Type,User,Current used by user,Total used by user,Total used,Reserved value,Date,Uploaded at

credits,Consumable,vsc44251,50.22 Hours,4685.94 Hours,816970.93 Hours,2330000.0 Hours,31/01/2025 - 00:00,01/02/2025 - 06:03
credits,Consumable,vsc46187,1220.97 Hours,784825.71 Hours,816920.71 Hours,2330000.0 Hours,31/01/2025 - 00:00,01/02/2025 - 06:03
credits,Consumable,vsc46187,2964.93 Hours,783604.74 Hours,815699.74 Hours,2330000.0 Hours,29/01/2025 - 00:00,30/01/2025 - 06:03
credits,Consumable,vsc46187,20710.71 Hours,780639.81 Hours,812734.8 Hours,2330000.0 Hours,22/01/2025 - 00:00,23/01/2025 - 06:03
credits,Consumable,vsc46187,5809.17 Hours,759929.09 Hours,792024.09 Hours,2330000.0 Hours,21/01/2025 - 00:00,22/01/2025 - 06:03
credits,Consumable,vsc46187,19951.42 Hours,754119.92 Hours,786214.92 Hours,2330000.0 Hours,20/01/2025 - 00:00,21/01/2025 - 06:03
credits,Consumable,vsc46187,68771.58 Hours,734168.5 Hours,766263.5 Hours,2330000.0 Hours,19/01/2025 - 00:00,20/01/2025 - 06:03
credits,Consumable,vsc46187,84502.28 Hours,665396.91 Hours,697491.91 Hours,2330000.0 Hours,18/01/2025 - 00:00,19/01/2025 - 06:03
credits,Consumable,vsc44251,285.53 Hours,4635.72 Hours,612989.63 Hours,2330000.0 Hours,17/01/2025 - 00:00,18/01/2025 - 06:03
credits,Consumable,vsc46187,25921.1 Hours,580894.64 Hours,612704.1 Hours,2330000.0 Hours,17/01/2025 - 00:00,18/01/2025 - 06:03
credits,Consumable,vsc46187,23263.85 Hours,554973.54 Hours,586783.0 Hours,2330000.0 Hours,16/01/2025 - 00:00,17/01/2025 - 06:03
credits,Consumable,vsc44251,367.76 Hours,4350.18 Hours,563519.15 Hours,2330000.0 Hours,16/01/2025 - 00:00,17/01/2025 - 06:03
credits,Consumable,vsc46187,5036.64 Hours,531709.69 Hours,563151.39 Hours,2330000.0 Hours,15/01/2025 - 00:00,16/01/2025 - 06:03
credits,Consumable,vsc46187,171.77 Hours,526673.04 Hours,558114.75 Hours,2330000.0 Hours,14/01/2025 - 00:00,15/01/2025 - 06:03
credits,Consumable,vsc44251,136.15 Hours,3982.42 Hours,557942.98 Hours,2330000.0 Hours,14/01/2025 - 00:00,15/01/2025 - 06:03
credits,Consumable,vsc44251,384.15 Hours,3846.28 Hours,557806.83 Hours,2330000.0 Hours,13/01/2025 - 00:00,14/01/2025 - 06:03
credits,Consumable,vsc46187,7800.1 Hours,526501.27 Hours,557422.68 Hours,2330000.0 Hours,13/01/2025 - 00:00,14/01/2025 - 06:03
credits,Consumable,vsc44251,382.52 Hours,3462.13 Hours,549622.58 Hours,2330000.0 Hours,12/01/2025 - 00:00,13/01/2025 - 06:03
credits,Consumable,vsc46187,66001.75 Hours,518701.17 Hours,549240.06 Hours,2330000.0 Hours,12/01/2025 - 00:00,13/01/2025 - 06:03
credits,Consumable,vsc44251,392.48 Hours,3079.61 Hours,483238.31 Hours,2330000.0 Hours,11/01/2025 - 00:00,12/01/2025 - 06:03
credits,Consumable,vsc46187,65667.62 Hours,452699.42 Hours,482845.83 Hours,2330000.0 Hours,11/01/2025 - 00:00,12/01/2025 - 06:03
credits,Consumable,vsc44251,417.75 Hours,2687.12 Hours,417178.21 Hours,2330000.0 Hours,10/01/2025 - 00:00,11/01/2025 - 06:03
credits,Consumable,vsc46187,94363.98 Hours,387031.81 Hours,416760.46 Hours,2330000.0 Hours,10/01/2025 - 00:00,11/01/2025 - 06:03
credits,Consumable,vsc44251,358.13 Hours,2269.37 Hours,322396.47 Hours,2330000.0 Hours,09/01/2025 - 00:00,10/01/2025 - 06:03
credits,Consumable,vsc46187,8340.73 Hours,292667.82 Hours,322038.35 Hours,2330000.0 Hours,09/01/2025 - 00:00,10/01/2025 - 06:03
credits,Consumable,vsc44251,381.42 Hours,1911.24 Hours,313697.62 Hours,2330000.0 Hours,08/01/2025 - 00:00,09/01/2025 - 06:03
credits,Consumable,vsc46187,6399.24 Hours,284327.1 Hours,313316.2 Hours,2330000.0 Hours,08/01/2025 - 00:00,09/01/2025 - 06:03
credits,Consumable,vsc44251,166.0 Hours,1529.82 Hours,306916.96 Hours,2330000.0 Hours,07/01/2025 - 00:00,08/01/2025 - 06:03
credits,Consumable,vsc44251,330.06 Hours,1363.83 Hours,306750.97 Hours,2330000.0 Hours,06/01/2025 - 00:00,07/01/2025 - 06:03
credits,Consumable,vsc46187,214.51 Hours,277927.86 Hours,306420.9 Hours,2330000.0 Hours,05/01/2025 - 00:00,06/01/2025 - 06:03
credits,Consumable,vsc44251,13.4 Hours,1033.77 Hours,306206.39 Hours,2330000.0 Hours,05/01/2025 - 00:00,06/01/2025 - 06:03
credits,Consumable,vsc45925,53.78 Hours,27459.28 Hours,306193.0 Hours,2330000.0 Hours,03/01/2025 - 00:00,04/01/2025 - 06:03
credits,Consumable,vsc45925,178.57 Hours,27405.5 Hours,306139.22 Hours,2330000.0 Hours,02/01/2025 - 00:00,03/01/2025 - 06:03
credits,Consumable,vsc45925,382.22 Hours,27226.92 Hours,305960.64 Hours,2330000.0 Hours,01/01/2025 - 00:00,02/01/2025 - 06:03
credits,Consumable,vsc45925,141.72 Hours,26844.71 Hours,305578.42 Hours,2330000.0 Hours,31/12/2024 - 00:00,01/01/2025 - 06:03
credits,Consumable,vsc44251,10.39 Hours,1020.37 Hours,305436.7 Hours,2330000.0 Hours,17/12/2024 - 00:00,18/12/2024 - 06:03
credits,Consumable,vsc44251,8.07 Hours,1009.98 Hours,305426.31 Hours,2330000.0 Hours,16/12/2024 - 00:00,17/12/2024 - 06:03
credits,Consumable,vsc46187,2293.64 Hours,277713.35 Hours,305418.25 Hours,2330000.0 Hours,16/12/2024 - 00:00,17/12/2024 - 06:03
credits,Consumable,vsc46187,17591.6 Hours,275419.7 Hours,303124.6 Hours,2330000.0 Hours,15/12/2024 - 00:00,16/12/2024 - 06:03
credits,Consumable,vsc46187,215.54 Hours,257828.1 Hours,285533.0 Hours,2330000.0 Hours,14/12/2024 - 00:00,15/12/2024 - 06:03
credits,Consumable,vsc44251,336.27 Hours,1001.92 Hours,285317.45 Hours,2330000.0 Hours,13/12/2024 - 00:00,14/12/2024 - 06:03
credits,Consumable,vsc46187,3886.06 Hours,257612.55 Hours,284981.19 Hours,2330000.0 Hours,13/12/2024 - 00:00,14/12/2024 - 06:03
credits,Consumable,vsc44251,375.55 Hours,665.65 Hours,281095.13 Hours,2330000.0 Hours,12/12/2024 - 00:00,13/12/2024 - 06:03
credits,Consumable,vsc46187,29321.23 Hours,253726.5 Hours,280719.58 Hours,2330000.0 Hours,12/12/2024 - 00:00,13/12/2024 - 06:03
credits,Consumable,vsc44251,11.36 Hours,290.1 Hours,251398.35 Hours,2330000.0 Hours,11/12/2024 - 00:00,12/12/2024 - 06:03
credits,Consumable,vsc46187,26785.03 Hours,224405.27 Hours,251386.99 Hours,2330000.0 Hours,08/12/2024 - 00:00,09/12/2024 - 06:03
credits,Consumable,vsc46187,78.9 Hours,197620.23 Hours,224601.96 Hours,2330000.0 Hours,07/12/2024 - 00:00,08/12/2024 - 06:03
credits,Consumable,vsc44251,14.0 Hours,278.74 Hours,224523.06 Hours,2330000.0 Hours,06/12/2024 - 00:00,07/12/2024 - 06:03
credits,Consumable,vsc46187,4.58 Hours,197541.33 Hours,224509.06 Hours,2330000.0 Hours,05/12/2024 - 00:00,06/12/2024 - 06:03
credits,Consumable,vsc45925,995.25 Hours,26702.98 Hours,224504.48 Hours,2330000.0 Hours,05/12/2024 - 00:00,06/12/2024 - 06:03
credits,Consumable,vsc45925,306.56 Hours,25707.73 Hours,223509.23 Hours,2330000.0 Hours,04/12/2024 - 00:00,05/12/2024 - 06:03
credits,Consumable,vsc44251,1.24 Hours,264.74 Hours,223202.67 Hours,2330000.0 Hours,04/12/2024 - 00:00,05/12/2024 - 06:03
credits,Consumable,vsc45925,0.62 Hours,25401.17 Hours,223201.43 Hours,2330000.0 Hours,03/12/2024 - 00:00,04/12/2024 - 06:03
credits,Consumable,vsc44251,263.5 Hours,263.5 Hours,223200.8 Hours,2330000.0 Hours,03/12/2024 - 00:00,04/12/2024 - 06:03
credits,Consumable,vsc46187,5512.18 Hours,197536.75 Hours,222937.3 Hours,2330000.0 Hours,28/11/2024 - 00:00,29/11/2024 - 06:03
credits,Consumable,vsc46187,26785.31 Hours,192024.57 Hours,217425.12 Hours,2330000.0 Hours,26/11/2024 - 00:00,27/11/2024 - 06:03
credits,Consumable,vsc46187,26785.41 Hours,165239.27 Hours,190639.81 Hours,2330000.0 Hours,21/11/2024 - 00:00,22/11/2024 - 06:03
credits,Consumable,vsc46187,3100.69 Hours,138453.85 Hours,163854.4 Hours,2330000.0 Hours,19/11/2024 - 00:00,20/11/2024 - 06:03
credits,Consumable,vsc46187,27816.37 Hours,135353.16 Hours,160753.71 Hours,2330000.0 Hours,18/11/2024 - 00:00,19/11/2024 - 06:03
credits,Consumable,vsc46187,3040.26 Hours,107536.8 Hours,132937.35 Hours,2330000.0 Hours,15/11/2024 - 00:00,16/11/2024 - 06:03
credits,Consumable,vsc46187,28.88 Hours,104496.53 Hours,129897.08 Hours,2330000.0 Hours,14/11/2024 - 00:00,15/11/2024 - 06:03
credits,Consumable,vsc46187,992.97 Hours,104467.65 Hours,129868.2 Hours,2330000.0 Hours,08/10/2024 - 00:00,09/10/2024 - 06:03
credits,Consumable,vsc46187,5907.05 Hours,103474.68 Hours,128875.23 Hours,2330000.0 Hours,07/10/2024 - 00:00,08/10/2024 - 06:03
credits,Consumable,vsc46187,4405.95 Hours,97567.63 Hours,122968.18 Hours,2330000.0 Hours,02/10/2024 - 00:00,03/10/2024 - 06:03
credits,Consumable,vsc46187,1098.79 Hours,93161.67 Hours,118562.22 Hours,2330000.0 Hours,01/10/2024 - 00:00,02/10/2024 - 06:03
credits,Consumable,vsc46187,2252.61 Hours,92062.89 Hours,117463.44 Hours,2330000.0 Hours,06/08/2024 - 00:00,07/08/2024 - 06:03
credits,Consumable,vsc46187,161.42 Hours,89810.28 Hours,115210.83 Hours,2330000.0 Hours,05/08/2024 - 00:00,06/08/2024 - 06:03
credits,Consumable,vsc45925,2682.56 Hours,25400.55 Hours,115049.41 Hours,2330000.0 Hours,28/06/2024 - 00:00,29/06/2024 - 06:03
credits,Consumable,vsc45925,8050.28 Hours,22717.99 Hours,112366.85 Hours,2330000.0 Hours,27/06/2024 - 00:00,28/06/2024 - 06:03
credits,Consumable,vsc45925,2683.41 Hours,14667.71 Hours,104316.57 Hours,2330000.0 Hours,26/06/2024 - 00:00,27/06/2024 - 06:03
credits,Consumable,vsc45925,6147.41 Hours,11984.3 Hours,101633.16 Hours,2330000.0 Hours,22/06/2024 - 00:00,23/06/2024 - 06:03
credits,Consumable,vsc45925,52.69 Hours,5836.88 Hours,95485.74 Hours,2330000.0 Hours,21/06/2024 - 00:00,22/06/2024 - 06:03
credits,Consumable,vsc45925,450.49 Hours,5784.19 Hours,95433.05 Hours,2330000.0 Hours,20/06/2024 - 00:00,21/06/2024 - 06:03
credits,Consumable,vsc45925,3769.67 Hours,5333.7 Hours,94982.56 Hours,2330000.0 Hours,19/06/2024 - 00:00,20/06/2024 - 06:03
credits,Consumable,vsc45925,6.47 Hours,1564.03 Hours,91212.89 Hours,2330000.0 Hours,18/06/2024 - 00:00,19/06/2024 - 06:03
credits,Consumable,vsc46187,10341.91 Hours,89648.86 Hours,91206.42 Hours,2330000.0 Hours,16/06/2024 - 00:00,17/06/2024 - 06:03
credits,Consumable,vsc46187,13974.88 Hours,79306.95 Hours,80864.51 Hours,2330000.0 Hours,14/06/2024 - 00:00,15/06/2024 - 06:03
credits,Consumable,vsc46187,10156.48 Hours,65332.07 Hours,66889.63 Hours,2330000.0 Hours,13/06/2024 - 00:00,14/06/2024 - 06:03
credits,Consumable,vsc45925,1545.1 Hours,1557.56 Hours,56733.15 Hours,2330000.0 Hours,12/06/2024 - 00:00,13/06/2024 - 06:03
credits,Consumable,vsc45925,12.44 Hours,12.46 Hours,55188.05 Hours,2330000.0 Hours,11/06/2024 - 00:00,12/06/2024 - 06:03
credits,Consumable,vsc46187,26784.83 Hours,55175.59 Hours,55175.61 Hours,2330000.0 Hours,11/06/2024 - 00:00,12/06/2024 - 06:03
credits,Consumable,vsc46187,26785.86 Hours,28390.76 Hours,28390.78 Hours,2330000.0 Hours,08/06/2024 - 00:00,09/06/2024 - 06:03
credits,Consumable,vsc45925,0.01 Hours,0.01 Hours,1604.92 Hours,2330000.0 Hours,07/06/2024 - 00:00,08/06/2024 - 06:03
credits,Consumable,vsc46187,1604.9 Hours,1604.9 Hours,1604.91 Hours,2330000.0 Hours,05/06/2024 - 00:00,06/06/2024 - 06:03

cpu,Consumable,vsc44251,50.22 Hours,4431.19 Hours,47099.35 Hours,2330000.0 Hours,31/01/2025 - 00:00,01/02/2025 - 06:03
cpu,Consumable,vsc46187,28.58 Hours,15675.12 Hours,47049.13 Hours,2330000.0 Hours,31/01/2025 - 00:00,01/02/2025 - 06:03
cpu,Consumable,vsc46187,67.65 Hours,15646.53 Hours,47020.55 Hours,2330000.0 Hours,29/01/2025 - 00:00,30/01/2025 - 06:03
cpu,Consumable,vsc46187,470.7 Hours,15578.88 Hours,46952.9 Hours,2330000.0 Hours,22/01/2025 - 00:00,23/01/2025 - 06:03
cpu,Consumable,vsc46187,132.03 Hours,15108.18 Hours,46482.2 Hours,2330000.0 Hours,21/01/2025 - 00:00,22/01/2025 - 06:03
cpu,Consumable,vsc46187,453.44 Hours,14976.16 Hours,46350.17 Hours,2330000.0 Hours,20/01/2025 - 00:00,21/01/2025 - 06:03
cpu,Consumable,vsc46187,1562.99 Hours,14522.71 Hours,45896.73 Hours,2330000.0 Hours,19/01/2025 - 00:00,20/01/2025 - 06:03
cpu,Consumable,vsc46187,1789.59 Hours,12959.72 Hours,44333.74 Hours,2330000.0 Hours,18/01/2025 - 00:00,19/01/2025 - 06:03
cpu,Consumable,vsc44251,285.53 Hours,4380.98 Hours,42544.15 Hours,2330000.0 Hours,17/01/2025 - 00:00,18/01/2025 - 06:03
cpu,Consumable,vsc46187,589.12 Hours,11170.13 Hours,42258.62 Hours,2330000.0 Hours,17/01/2025 - 00:00,18/01/2025 - 06:03
cpu,Consumable,vsc46187,528.72 Hours,10581.02 Hours,41669.5 Hours,2330000.0 Hours,16/01/2025 - 00:00,17/01/2025 - 06:03
cpu,Consumable,vsc44251,367.76 Hours,4095.44 Hours,41140.78 Hours,2330000.0 Hours,16/01/2025 - 00:00,17/01/2025 - 06:03
cpu,Consumable,vsc46187,114.47 Hours,10052.29 Hours,40773.02 Hours,2330000.0 Hours,15/01/2025 - 00:00,16/01/2025 - 06:03
cpu,Consumable,vsc46187,1.39 Hours,9937.83 Hours,40658.55 Hours,2330000.0 Hours,14/01/2025 - 00:00,15/01/2025 - 06:03
cpu,Consumable,vsc44251,136.15 Hours,3727.68 Hours,40657.16 Hours,2330000.0 Hours,14/01/2025 - 00:00,15/01/2025 - 06:03
cpu,Consumable,vsc44251,384.15 Hours,3591.54 Hours,40521.02 Hours,2330000.0 Hours,13/01/2025 - 00:00,14/01/2025 - 06:03
cpu,Consumable,vsc46187,177.21 Hours,9936.44 Hours,40136.87 Hours,2330000.0 Hours,13/01/2025 - 00:00,14/01/2025 - 06:03
cpu,Consumable,vsc44251,382.52 Hours,3207.39 Hours,39959.66 Hours,2330000.0 Hours,12/01/2025 - 00:00,13/01/2025 - 06:03
cpu,Consumable,vsc46187,1500.04 Hours,9759.24 Hours,39577.14 Hours,2330000.0 Hours,12/01/2025 - 00:00,13/01/2025 - 06:03
cpu,Consumable,vsc44251,392.48 Hours,2824.86 Hours,38077.1 Hours,2330000.0 Hours,11/01/2025 - 00:00,12/01/2025 - 06:03
cpu,Consumable,vsc46187,1492.45 Hours,8259.2 Hours,37684.62 Hours,2330000.0 Hours,11/01/2025 - 00:00,12/01/2025 - 06:03
cpu,Consumable,vsc44251,417.75 Hours,2432.38 Hours,36192.17 Hours,2330000.0 Hours,10/01/2025 - 00:00,11/01/2025 - 06:03
cpu,Consumable,vsc46187,2173.84 Hours,6766.75 Hours,35774.42 Hours,2330000.0 Hours,10/01/2025 - 00:00,11/01/2025 - 06:03
cpu,Consumable,vsc44251,358.13 Hours,2014.63 Hours,33600.58 Hours,2330000.0 Hours,09/01/2025 - 00:00,10/01/2025 - 06:03
cpu,Consumable,vsc46187,208.61 Hours,4592.91 Hours,33242.45 Hours,2330000.0 Hours,09/01/2025 - 00:00,10/01/2025 - 06:03
cpu,Consumable,vsc44251,381.42 Hours,1656.5 Hours,33033.84 Hours,2330000.0 Hours,08/01/2025 - 00:00,09/01/2025 - 06:03
cpu,Consumable,vsc46187,164.08 Hours,4384.3 Hours,32652.42 Hours,2330000.0 Hours,08/01/2025 - 00:00,09/01/2025 - 06:03
cpu,Consumable,vsc44251,166.0 Hours,1275.08 Hours,32488.34 Hours,2330000.0 Hours,07/01/2025 - 00:00,08/01/2025 - 06:03
